"PHONESERVICE","MULTIPLELINES","INTERNETSERVICE","ONLINESECURITY","ONLINEBACKUP","DEVICEPROTECTION","TECHSUPPORT","STREAMINGTV","STREAMINGMOVIES","CHURN","USERS"
"Yes","No","DSL","Yes","Yes","No","No","No","Yes","","4"
"Yes","No","DSL","Yes","Yes","No","No","No","","","42"
"Yes","No","DSL","Yes","Yes","No","No","Yes","No","No","4"
"Yes","No","DSL","Yes","Yes","No","No","Yes","No","Yes","1"
"Yes","No","DSL","Yes","Yes","No","No","Yes","No","","5"
"Yes","No","DSL","Yes","Yes","No","No","Yes","Yes","No","6"
"Yes","No","DSL","Yes","Yes","No","No","Yes","Yes","Yes","1"
"Yes","No","DSL","Yes","Yes","No","No","Yes","Yes","","7"
"Yes","No","DSL","Yes","Yes","No","No","Yes","","","12"
"Yes","No","DSL","Yes","Yes","No","No","","","","54"
"Yes","No","DSL","Yes","Yes","No","Yes","No","No","No","28"
"Yes","No","DSL","Yes","Yes","No","Yes","No","No","Yes","3"
"Yes","No","DSL","Yes","Yes","No","Yes","No","No","","31"
"Yes","No","DSL","Yes","Yes","No","Yes","No","Yes","No","13"
"Yes","No","DSL","Yes","Yes","No","Yes","No","Yes","","13"
"Yes","No","DSL","Yes","Yes","No","Yes","No","","","44"
"Yes","No","DSL","Yes","Yes","No","Yes","Yes","No","No","10"
"Yes","No","DSL","Yes","Yes","No","Yes","Yes","No","Yes","1"
"Yes","No","DSL","Yes","Yes","No","Yes","Yes","No","","11"
"Yes","No","DSL","Yes","Yes","No","Yes","Yes","Yes","No","9"
"Yes","No","DSL","Yes","Yes","No","Yes","Yes","Yes","Yes","1"
"Yes","No","DSL","Yes","Yes","No","Yes","Yes","Yes","","10"
"Yes","No","DSL","Yes","Yes","No","Yes","Yes","","","21"
"Yes","No","DSL","Yes","Yes","No","Yes","","","","65"
"Yes","No","DSL","Yes","Yes","No","","","","","119"
"Yes","No","DSL","Yes","Yes","Yes","No","No","No","No","18"
"Yes","No","DSL","Yes","Yes","Yes","No","No","No","Yes","2"
"Yes","No","DSL","Yes","Yes","Yes","No","No","No","","20"
"Yes","No","DSL","Yes","Yes","Yes","No","No","Yes","No","3"
"Yes","No","DSL","Yes","Yes","Yes","No","No","Yes","Yes","1"
"Yes","No","DSL","Yes","Yes","Yes","No","No","Yes","","4"
"Yes","No","DSL","Yes","Yes","Yes","No","No","","","24"
"Yes","No","DSL","Yes","Yes","Yes","No","Yes","No","No","5"
"Yes","No","DSL","Yes","Yes","Yes","No","Yes","No","","5"
"Yes","No","DSL","Yes","Yes","Yes","No","Yes","Yes","No","4"
"Yes","No","DSL","Yes","Yes","Yes","No","Yes","Yes","","4"
"Yes","No","DSL","Yes","Yes","Yes","No","Yes","","","9"
"Yes","No","DSL","Yes","Yes","Yes","No","","","","33"
"Yes","No","DSL","Yes","Yes","Yes","Yes","No","No","No","13"
"Yes","No","DSL","Yes","Yes","Yes","Yes","No","No","Yes","1"
"Yes","No","DSL","Yes","Yes","Yes","Yes","No","No","","14"
"Yes","No","DSL","Yes","Yes","Yes","Yes","No","Yes","No","8"
"Yes","No","DSL","Yes","Yes","Yes","Yes","No","Yes","Yes","1"
"Yes","No","DSL","Yes","Yes","Yes","Yes","No","Yes","","9"
"Yes","No","DSL","Yes","Yes","Yes","Yes","No","","","23"
"Yes","No","DSL","Yes","Yes","Yes","Yes","Yes","No","No","12"
"Yes","No","DSL","Yes","Yes","Yes","Yes","Yes","No","","12"
"Yes","No","DSL","Yes","Yes","Yes","Yes","Yes","Yes","No","25"
"Yes","No","DSL","Yes","Yes","Yes","Yes","Yes","Yes","Yes","1"
"Yes","No","DSL","Yes","Yes","Yes","Yes","Yes","Yes","","26"
"Yes","No","DSL","Yes","Yes","Yes","Yes","Yes","","","38"
"Yes","No","DSL","Yes","Yes","Yes","Yes","","","","61"
"Yes","No","DSL","Yes","Yes","Yes","","","","","94"
"Yes","No","DSL","Yes","Yes","","","","","","213"
"Yes","No","DSL","Yes","","","","","","","420"
"Yes","No","DSL","","","","","","","","917"
"Yes","No","Fiber optic","No","No","No","No","No","No","No","86"
"Yes","No","Fiber optic","No","No","No","No","No","No","Yes","116"
"Yes","No","Fiber optic","No","No","No","No","No","No","","202"
"Yes","No","Fiber optic","No","No","No","No","No","Yes","No","17"
"Yes","No","Fiber optic","No","No","No","No","No","Yes","Yes","35"
"Yes","No","Fiber optic","No","No","No","No","No","Yes","","52"
"Yes","No","Fiber optic","No","No","No","No","No","","","254"
"Yes","No","Fiber optic","No","No","No","No","Yes","No","No","16"
"Yes","No","Fiber optic","No","No","No","No","Yes","No","Yes","42"
"Yes","No","Fiber optic","No","No","No","No","Yes","No","","58"
"Yes","No","Fiber optic","No","No","No","No","Yes","Yes","No","25"
"Yes","No","Fiber optic","No","No","No","No","Yes","Yes","Yes","41"
"Yes","No","Fiber optic","No","No","No","No","Yes","Yes","","66"
"Yes","No","Fiber optic","No","No","No","No","Yes","","","124"
"Yes","No","Fiber optic","No","No","No","No","","","","378"
"Yes","No","Fiber optic","No","No","No","Yes","No","No","No","9"
"Yes","No","Fiber optic","No","No","No","Yes","No","No","Yes","1"
"Yes","No","Fiber optic","No","No","No","Yes","No","No","","10"
"Yes","No","Fiber optic","No","No","No","Yes","No","Yes","No","3"
"Yes","No","Fiber optic","No","No","No","Yes","No","Yes","Yes","1"
"Yes","No","Fiber optic","No","No","No","Yes","No","Yes","","4"
"Yes","No","Fiber optic","No","No","No","Yes","No","","","14"
"Yes","No","Fiber optic","No","No","No","Yes","Yes","No","No","4"
"Yes","No","Fiber optic","No","No","No","Yes","Yes","No","Yes","3"
"Yes","No","Fiber optic","No","No","No","Yes","Yes","No","","7"
"Yes","No","Fiber optic","No","No","No","Yes","Yes","Yes","No","8"
"Yes","No","Fiber optic","No","No","No","Yes","Yes","Yes","Yes","4"
"Yes","No","Fiber optic","No","No","No","Yes","Yes","Yes","","12"
"Yes","No","Fiber optic","No","No","No","Yes","Yes","","","19"
"Yes","No","Fiber optic","No","No","No","Yes","","","","33"
"Yes","No","Fiber optic","No","No","No","","","","","411"
"Yes","No","Fiber optic","No","No","Yes","No","No","No","No","19"
"Yes","No","Fiber optic","No","No","Yes","No","No","No","Yes","14"
"Yes","No","Fiber optic","No","No","Yes","No","No","No","","33"
"Yes","No","Fiber optic","No","No","Yes","No","No","Yes","No","9"
"Yes","No","Fiber optic","No","No","Yes","No","No","Yes","Yes","5"
"Yes","No","Fiber optic","No","No","Yes","No","No","Yes","","14"
"Yes","No","Fiber optic","No","No","Yes","No","No","","","47"
"Yes","No","Fiber optic","No","No","Yes","No","Yes","No","No","8"
"Yes","No","Fiber optic","No","No","Yes","No","Yes","No","Yes","8"
"Yes","No","Fiber optic","No","No","Yes","No","Yes","No","","16"
"Yes","No","Fiber optic","No","No","Yes","No","Yes","Yes","No","19"
"Yes","No","Fiber optic","No","No","Yes","No","Yes","Yes","Yes","23"
"Yes","No","Fiber optic","No","No","Yes","No","Yes","Yes","","42"
"Yes","No","Fiber optic","No","No","Yes","No","Yes","","","58"
"Yes","No","Fiber optic","No","No","Yes","No","","","","105"
"Yes","No","Fiber optic","No","No","Yes","Yes","No","No","No","5"
"Yes","No","Fiber optic","No","No","Yes","Yes","No","No","Yes","4"
"Yes","No","Fiber optic","No","No","Yes","Yes","No","No","","9"
"Yes","No","Fiber optic","No","No","Yes","Yes","No","Yes","No","8"
"Yes","No","Fiber optic","No","No","Yes","Yes","No","Yes","Yes","3"
"Yes","No","Fiber optic","No","No","Yes","Yes","No","Yes","","11"
"Yes","No","Fiber optic","No","No","Yes","Yes","No","","","20"
"Yes","No","Fiber optic","No","No","Yes","Yes","Yes","No","No","5"
"Yes","No","Fiber optic","No","No","Yes","Yes","Yes","No","Yes","1"
"Yes","No","Fiber optic","No","No","Yes","Yes","Yes","No","","6"
"Yes","No","Fiber optic","No","No","Yes","Yes","Yes","Yes","No","12"
"Yes","No","Fiber optic","No","No","Yes","Yes","Yes","Yes","Yes","5"
"Yes","No","Fiber optic","No","No","Yes","Yes","Yes","Yes","","17"
"Yes","No","Fiber optic","No","No","Yes","Yes","Yes","","","23"
"Yes","No","Fiber optic","No","No","Yes","Yes","","","","43"
"Yes","No","Fiber optic","No","No","Yes","","","","","148"
"Yes","No","Fiber optic","No","No","","","","","","559"
"Yes","No","Fiber optic","No","Yes","No","No","No","No","No","19"
"Yes","No","Fiber optic","No","Yes","No","No","No","No","Yes","21"
"Yes","No","Fiber optic","No","Yes","No","No","No","No","","40"
"Yes","No","Fiber optic","No","Yes","No","No","No","Yes","No","8"
"Yes","No","Fiber optic","No","Yes","No","No","No","Yes","Yes","10"
"Yes","No","Fiber optic","No","Yes","No","No","No","Yes","","18"
"Yes","No","Fiber optic","No","Yes","No","No","No","","","58"
"Yes","No","Fiber optic","No","Yes","No","No","Yes","No","No","10"
"Yes","No","Fiber optic","No","Yes","No","No","Yes","No","Yes","5"
"Yes","No","Fiber optic","No","Yes","No","No","Yes","No","","15"
"Yes","No","Fiber optic","No","Yes","No","No","Yes","Yes","No","17"
"Yes","No","Fiber optic","No","Yes","No","No","Yes","Yes","Yes","8"
"Yes","No","Fiber optic","No","Yes","No","No","Yes","Yes","","25"
"Yes","No","Fiber optic","No","Yes","No","No","Yes","","","40"
"Yes","No","Fiber optic","No","Yes","No","No","","","","98"
"Yes","No","Fiber optic","No","Yes","No","Yes","No","No","No","8"
"Yes","No","Fiber optic","No","Yes","No","Yes","No","No","Yes","1"
"Yes","No","Fiber optic","No","Yes","No","Yes","No","No","","9"
"Yes","No","Fiber optic","No","Yes","No","Yes","No","Yes","No","1"
"Yes","No","Fiber optic","No","Yes","No","Yes","No","Yes","Yes","2"
"Yes","No","Fiber optic","No","Yes","No","Yes","No","Yes","","3"
"Yes","No","Fiber optic","No","Yes","No","Yes","No","","","12"
"Yes","No","Fiber optic","No","Yes","No","Yes","Yes","No","No","5"
"Yes","No","Fiber optic","No","Yes","No","Yes","Yes","No","Yes","1"
"Yes","No","Fiber optic","No","Yes","No","Yes","Yes","No","","6"
"Yes","No","Fiber optic","No","Yes","No","Yes","Yes","Yes","No","8"
"Yes","No","Fiber optic","No","Yes","No","Yes","Yes","Yes","Yes","6"
"Yes","No","Fiber optic","No","Yes","No","Yes","Yes","Yes","","14"
"Yes","No","Fiber optic","No","Yes","No","Yes","Yes","","","20"
"Yes","No","Fiber optic","No","Yes","No","Yes","","","","32"
"Yes","No","Fiber optic","No","Yes","No","","","","","130"
"Yes","No","Fiber optic","No","Yes","Yes","No","No","No","No","9"
"Yes","No","Fiber optic","No","Yes","Yes","No","No","No","Yes","5"
"Yes","No","Fiber optic","No","Yes","Yes","No","No","No","","14"
"Yes","No","Fiber optic","No","Yes","Yes","No","No","Yes","No","10"
"Yes","No","Fiber optic","No","Yes","Yes","No","No","Yes","Yes","2"
"Yes","No","Fiber optic","No","Yes","Yes","No","No","Yes","","12"
"Yes","No","Fiber optic","No","Yes","Yes","No","No","","","26"
"Yes","No","Fiber optic","No","Yes","Yes","No","Yes","No","No","6"
"Yes","No","Fiber optic","No","Yes","Yes","No","Yes","No","Yes","5"
"Yes","No","Fiber optic","No","Yes","Yes","No","Yes","No","","11"
"Yes","No","Fiber optic","No","Yes","Yes","No","Yes","Yes","No","15"
"Yes","No","Fiber optic","No","Yes","Yes","No","Yes","Yes","Yes","10"
"Yes","No","Fiber optic","No","Yes","Yes","No","Yes","Yes","","25"
"Yes","No","Fiber optic","No","Yes","Yes","No","Yes","","","36"
"Yes","No","Fiber optic","No","Yes","Yes","No","","","","62"
"Yes","No","Fiber optic","No","Yes","Yes","Yes","No","No","No","7"
"Yes","No","Fiber optic","No","Yes","Yes","Yes","No","No","Yes","3"
"Yes","No","Fiber optic","No","Yes","Yes","Yes","No","No","","10"
"Yes","No","Fiber optic","No","Yes","Yes","Yes","No","Yes","No","3"
"Yes","No","Fiber optic","No","Yes","Yes","Yes","No","Yes","Yes","1"
"Yes","No","Fiber optic","No","Yes","Yes","Yes","No","Yes","","4"
"Yes","No","Fiber optic","No","Yes","Yes","Yes","No","","","14"
"Yes","No","Fiber optic","No","Yes","Yes","Yes","Yes","No","No","3"
"Yes","No","Fiber optic","No","Yes","Yes","Yes","Yes","No","Yes","3"
"Yes","No","Fiber optic","No","Yes","Yes","Yes","Yes","No","","6"
"Yes","No","Fiber optic","No","Yes","Yes","Yes","Yes","Yes","No","11"
"Yes","No","Fiber optic","No","Yes","Yes","Yes","Yes","Yes","Yes","4"
"Yes","No","Fiber optic","No","Yes","Yes","Yes","Yes","Yes","","15"
"Yes","No","Fiber optic","No","Yes","Yes","Yes","Yes","","","21"
"Yes","No","Fiber optic","No","Yes","Yes","Yes","","","","35"
"Yes","No","Fiber optic","No","Yes","Yes","","","","","97"
"Yes","No","Fiber optic","No","Yes","","","","","","227"
"Yes","No","Fiber optic","No","","","","","","","786"
"Yes","No","Fiber optic","Yes","No","No","No","No","No","No","20"
"Yes","No","Fiber optic","Yes","No","No","No","No","No","Yes","14"
"Yes","No","Fiber optic","Yes","No","No","No","No","No","","34"
"Yes","No","Fiber optic","Yes","No","No","No","No","Yes","No","4"
"Yes","No","Fiber optic","Yes","No","No","No","No","Yes","Yes","4"
"Yes","No","Fiber optic","Yes","No","No","No","No","Yes","","8"
"Yes","No","Fiber optic","Yes","No","No","No","No","","","42"
"Yes","No","Fiber optic","Yes","No","No","No","Yes","No","No","3"
"Yes","No","Fiber optic","Yes","No","No","No","Yes","No","Yes","5"
"Yes","No","Fiber optic","Yes","No","No","No","Yes","No","","8"
"Yes","No","Fiber optic","Yes","No","No","No","Yes","Yes","No","5"
"Yes","No","Fiber optic","Yes","No","No","No","Yes","Yes","Yes","6"
"Yes","No","Fiber optic","Yes","No","No","No","Yes","Yes","","11"
"Yes","No","Fiber optic","Yes","No","No","No","Yes","","","19"
"Yes","No","Fiber optic","Yes","No","No","No","","","","61"
"Yes","No","Fiber optic","Yes","No","No","Yes","No","No","No","1"
"Yes","No","Fiber optic","Yes","No","No","Yes","No","No","Yes","1"
"Yes","No","Fiber optic","Yes","No","No","Yes","No","No","","2"
"Yes","No","Fiber optic","Yes","No","No","Yes","No","Yes","No","2"
"Yes","No","Fiber optic","Yes","No","No","Yes","No","Yes","","2"
"Yes","No","Fiber optic","Yes","No","No","Yes","No","","","4"
"Yes","No","Fiber optic","Yes","No","No","Yes","Yes","No","No","1"
"Yes","No","Fiber optic","Yes","No","No","Yes","Yes","No","Yes","1"
"Yes","No","Fiber optic","Yes","No","No","Yes","Yes","No","","2"
"Yes","No","Fiber optic","Yes","No","No","Yes","Yes","Yes","No","4"
"Yes","No","Fiber optic","Yes","No","No","Yes","Yes","Yes","Yes","2"
"Yes","No","Fiber optic","Yes","No","No","Yes","Yes","Yes","","6"
"Yes","No","Fiber optic","Yes","No","No","Yes","Yes","","","8"
"Yes","No","Fiber optic","Yes","No","No","Yes","","","","12"
"Yes","No","Fiber optic","Yes","No","No","","","","","73"
"Yes","No","Fiber optic","Yes","No","Yes","No","No","No","No","7"
"Yes","No","Fiber optic","Yes","No","Yes","No","No","No","Yes","1"
"Yes","No","Fiber optic","Yes","No","Yes","No","No","No","","8"
"Yes","No","Fiber optic","Yes","No","Yes","No","No","Yes","No","3"
"Yes","No","Fiber optic","Yes","No","Yes","No","No","Yes","Yes","1"
"Yes","No","Fiber optic","Yes","No","Yes","No","No","Yes","","4"
"Yes","No","Fiber optic","Yes","No","Yes","No","No","","","12"
"Yes","No","Fiber optic","Yes","No","Yes","No","Yes","No","No","4"
"Yes","No","Fiber optic","Yes","No","Yes","No","Yes","No","Yes","1"
"Yes","No","Fiber optic","Yes","No","Yes","No","Yes","No","","5"
"Yes","No","Fiber optic","Yes","No","Yes","No","Yes","Yes","No","8"
"Yes","No","Fiber optic","Yes","No","Yes","No","Yes","Yes","Yes","2"
"Yes","No","Fiber optic","Yes","No","Yes","No","Yes","Yes","","10"
"Yes","No","Fiber optic","Yes","No","Yes","No","Yes","","","15"
"Yes","No","Fiber optic","Yes","No","Yes","No","","","","27"
"Yes","No","Fiber optic","Yes","No","Yes","Yes","No","No","No","5"
"Yes","No","Fiber optic","Yes","No","Yes","Yes","No","No","","5"
"Yes","No","Fiber optic","Yes","No","Yes","Yes","No","Yes","No","3"
"Yes","No","Fiber optic","Yes","No","Yes","Yes","No","Yes","Yes","2"
"Yes","No","Fiber optic","Yes","No","Yes","Yes","No","Yes","","5"
"Yes","No","Fiber optic","Yes","No","Yes","Yes","No","","","10"
"Yes","No","Fiber optic","Yes","No","Yes","Yes","Yes","No","Yes","1"
"Yes","No","Fiber optic","Yes","No","Yes","Yes","Yes","No","","1"
"Yes","No","Fiber optic","Yes","No","Yes","Yes","Yes","Yes","No","10"
"Yes","No","Fiber optic","Yes","No","Yes","Yes","Yes","Yes","Yes","4"
"Yes","No","Fiber optic","Yes","No","Yes","Yes","Yes","Yes","","14"
"Yes","No","Fiber optic","Yes","No","Yes","Yes","Yes","","","15"
"Yes","No","Fiber optic","Yes","No","Yes","Yes","","","","25"
"Yes","No","Fiber optic","Yes","No","Yes","","","","","52"
"Yes","No","Fiber optic","Yes","No","","","","","","125"
"Yes","No","Fiber optic","Yes","Yes","No","No","No","No","No","8"
"Yes","No","Fiber optic","Yes","Yes","No","No","No","No","Yes","4"
"Yes","No","Fiber optic","Yes","Yes","No","No","No","No","","12"
"Yes","No","Fiber optic","Yes","Yes","No","No","No","Yes","No","3"
"Yes","No","Fiber optic","Yes","Yes","No","No","No","Yes","Yes","1"
"Yes","No","Fiber optic","Yes","Yes","No","No","No","Yes","","4"
"Yes","No","Fiber optic","Yes","Yes","No","No","No","","","16"
"Yes","No","Fiber optic","Yes","Yes","No","No","Yes","No","No","2"
"Yes","No","Fiber optic","Yes","Yes","No","No","Yes","No","","2"
"Yes","No","Fiber optic","Yes","Yes","No","No","Yes","Yes","No","8"
"Yes","No","Fiber optic","Yes","Yes","No","No","Yes","Yes","Yes","1"
"Yes","No","Fiber optic","Yes","Yes","No","No","Yes","Yes","","9"
"Yes","No","Fiber optic","Yes","Yes","No","No","Yes","","","11"
"Yes","No","Fiber optic","Yes","Yes","No","No","","","","27"
"Yes","No","Fiber optic","Yes","Yes","No","Yes","No","No","No","5"
"Yes","No","Fiber optic","Yes","Yes","No","Yes","No","No","Yes","1"
"Yes","No","Fiber optic","Yes","Yes","No","Yes","No","No","","6"
"Yes","No","Fiber optic","Yes","Yes","No","Yes","No","Yes","No","6"
"Yes","No","Fiber optic","Yes","Yes","No","Yes","No","Yes","","6"
"Yes","No","Fiber optic","Yes","Yes","No","Yes","No","","","12"
"Yes","No","Fiber optic","Yes","Yes","No","Yes","Yes","No","No","2"
"Yes","No","Fiber optic","Yes","Yes","No","Yes","Yes","No","","2"
"Yes","No","Fiber optic","Yes","Yes","No","Yes","Yes","Yes","No","6"
"Yes","No","Fiber optic","Yes","Yes","No","Yes","Yes","Yes","Yes","4"
"Yes","No","Fiber optic","Yes","Yes","No","Yes","Yes","Yes","","10"
"Yes","No","Fiber optic","Yes","Yes","No","Yes","Yes","","","12"
"Yes","No","Fiber optic","Yes","Yes","No","Yes","","","","24"
"Yes","No","Fiber optic","Yes","Yes","No","","","","","51"
"Yes","No","Fiber optic","Yes","Yes","Yes","No","No","No","No","5"
"Yes","No","Fiber optic","Yes","Yes","Yes","No","No","No","Yes","1"
"Yes","No","Fiber optic","Yes","Yes","Yes","No","No","No","","6"
"Yes","No","Fiber optic","Yes","Yes","Yes","No","No","Yes","No","5"
"Yes","No","Fiber optic","Yes","Yes","Yes","No","No","Yes","","5"
"Yes","No","Fiber optic","Yes","Yes","Yes","No","No","","","11"
"Yes","No","Fiber optic","Yes","Yes","Yes","No","Yes","No","No","2"
"Yes","No","Fiber optic","Yes","Yes","Yes","No","Yes","No","","2"
"Yes","No","Fiber optic","Yes","Yes","Yes","No","Yes","Yes","No","6"
"Yes","No","Fiber optic","Yes","Yes","Yes","No","Yes","Yes","Yes","2"
"Yes","No","Fiber optic","Yes","Yes","Yes","No","Yes","Yes","","8"
"Yes","No","Fiber optic","Yes","Yes","Yes","No","Yes","","","10"
"Yes","No","Fiber optic","Yes","Yes","Yes","No","","","","21"
"Yes","No","Fiber optic","Yes","Yes","Yes","Yes","No","Yes","No","2"
"Yes","No","Fiber optic","Yes","Yes","Yes","Yes","No","Yes","Yes","1"
"Yes","No","Fiber optic","Yes","Yes","Yes","Yes","No","Yes","","3"
"Yes","No","Fiber optic","Yes","Yes","Yes","Yes","No","","","3"
"Yes","No","Fiber optic","Yes","Yes","Yes","Yes","Yes","No","No","4"
"Yes","No","Fiber optic","Yes","Yes","Yes","Yes","Yes","No","","4"
"Yes","No","Fiber optic","Yes","Yes","Yes","Yes","Yes","Yes","No","15"
"Yes","No","Fiber optic","Yes","Yes","Yes","Yes","Yes","Yes","Yes","3"
"Yes","No","Fiber optic","Yes","Yes","Yes","Yes","Yes","Yes","","18"
"Yes","No","Fiber optic","Yes","Yes","Yes","Yes","Yes","","","22"
"Yes","No","Fiber optic","Yes","Yes","Yes","Yes","","","","25"
"Yes","No","Fiber optic","Yes","Yes","Yes","","","","","46"
"Yes","No","Fiber optic","Yes","Yes","","","","","","97"
"Yes","No","Fiber optic","Yes","","","","","","","222"
"Yes","No","Fiber optic","","","","","","","","1008"
"Yes","No","","","","","","","","","2964"
"Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","No","291"
"Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Yes","8"
"Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","","299"
"Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","","","299"
"Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","","","","299"
"Yes","Yes","No","No internet service","No internet service","No internet service","","","","","299"
"Yes","Yes","No","No internet service","No internet service","","","","","","299"
"Yes","Yes","No","No internet service","","","","","","","299"
"Yes","Yes","No","","","","","","","","299"
"Yes","Yes","DSL","No","No","No","No","No","No","No","26"
"Yes","Yes","DSL","No","No","No","No","No","No","Yes","10"
"Yes","Yes","DSL","No","No","No","No","No","No","","36"
"Yes","Yes","DSL","No","No","No","No","No","Yes","No","4"
"Yes","Yes","DSL","No","No","No","No","No","Yes","Yes","3"
"Yes","Yes","DSL","No","No","No","No","No","Yes","","7"
"Yes","Yes","DSL","No","No","No","No","No","","","43"
"Yes","Yes","DSL","No","No","No","No","Yes","No","No","4"
"Yes","Yes","DSL","No","No","No","No","Yes","No","Yes","1"
"Yes","Yes","DSL","No","No","No","No","Yes","No","","5"
"Yes","Yes","DSL","No","No","No","No","Yes","Yes","No","3"
"Yes","Yes","DSL","No","No","No","No","Yes","Yes","Yes","2"
"Yes","Yes","DSL","No","No","No","No","Yes","Yes","","5"
"Yes","Yes","DSL","No","No","No","No","Yes","","","10"
"Yes","Yes","DSL","No","No","No","No","","","","53"
"Yes","Yes","DSL","No","No","No","Yes","No","No","No","4"
"Yes","Yes","DSL","No","No","No","Yes","No","No","Yes","1"
"Yes","Yes","DSL","No","No","No","Yes","No","No","","5"
"Yes","Yes","DSL","No","No","No","Yes","No","Yes","No","3"
"Yes","Yes","DSL","No","No","No","Yes","No","Yes","Yes","1"
"Yes","Yes","DSL","No","No","No","Yes","No","Yes","","4"
"Yes","Yes","DSL","No","No","No","Yes","No","","","9"
"Yes","Yes","DSL","No","No","No","Yes","Yes","No","No","7"
"Yes","Yes","DSL","No","No","No","Yes","Yes","No","Yes","1"
"Yes","Yes","DSL","No","No","No","Yes","Yes","No","","8"
"Yes","Yes","DSL","No","No","No","Yes","Yes","Yes","No","6"
"Yes","Yes","DSL","No","No","No","Yes","Yes","Yes","Yes","2"
"Yes","Yes","DSL","No","No","No","Yes","Yes","Yes","","8"
"Yes","Yes","DSL","No","No","No","Yes","Yes","","","16"
"Yes","Yes","DSL","No","No","No","Yes","","","","25"
"Yes","Yes","DSL","No","No","No","","","","","78"
"Yes","Yes","DSL","No","No","Yes","No","No","No","No","6"
"Yes","Yes","DSL","No","No","Yes","No","No","No","Yes","3"
"Yes","Yes","DSL","No","No","Yes","No","No","No","","9"
"Yes","Yes","DSL","No","No","Yes","No","No","Yes","No","2"
"Yes","Yes","DSL","No","No","Yes","No","No","Yes","Yes","1"
"Yes","Yes","DSL","No","No","Yes","No","No","Yes","","3"
"Yes","Yes","DSL","No","No","Yes","No","No","","","12"
"Yes","Yes","DSL","No","No","Yes","No","Yes","No","No","3"
"Yes","Yes","DSL","No","No","Yes","No","Yes","No","","3"
"Yes","Yes","DSL","No","No","Yes","No","Yes","Yes","No","7"
"Yes","Yes","DSL","No","No","Yes","No","Yes","Yes","","7"
"Yes","Yes","DSL","No","No","Yes","No","Yes","","","10"
"Yes","Yes","DSL","No","No","Yes","No","","","","22"
"Yes","Yes","DSL","No","No","Yes","Yes","No","No","No","5"
"Yes","Yes","DSL","No","No","Yes","Yes","No","No","Yes","1"
"Yes","Yes","DSL","No","No","Yes","Yes","No","No","","6"
"Yes","Yes","DSL","No","No","Yes","Yes","No","Yes","No","4"
"Yes","Yes","DSL","No","No","Yes","Yes","No","Yes","","4"
"Yes","Yes","DSL","No","No","Yes","Yes","No","","","10"
"Yes","Yes","DSL","No","No","Yes","Yes","Yes","No","No","3"
"Yes","Yes","DSL","No","No","Yes","Yes","Yes","No","Yes","1"
"Yes","Yes","DSL","No","No","Yes","Yes","Yes","No","","4"
"Yes","Yes","DSL","No","No","Yes","Yes","Yes","Yes","No","11"
"Yes","Yes","DSL","No","No","Yes","Yes","Yes","Yes","Yes","1"
"Yes","Yes","DSL","No","No","Yes","Yes","Yes","Yes","","12"
"Yes","Yes","DSL","No","No","Yes","Yes","Yes","","","16"
"Yes","Yes","DSL","No","No","Yes","Yes","","","","26"
"Yes","Yes","DSL","No","No","Yes","","","","","48"
"Yes","Yes","DSL","No","No","","","","","","126"
"Yes","Yes","DSL","No","Yes","No","No","No","No","No","15"
"Yes","Yes","DSL","No","Yes","No","No","No","No","Yes","2"
"Yes","Yes","DSL","No","Yes","No","No","No","No","","17"
"Yes","Yes","DSL","No","Yes","No","No","No","Yes","No","3"
"Yes","Yes","DSL","No","Yes","No","No","No","Yes","","3"
"Yes","Yes","DSL","No","Yes","No","No","No","","","20"
"Yes","Yes","DSL","No","Yes","No","No","Yes","No","No","2"
"Yes","Yes","DSL","No","Yes","No","No","Yes","No","","2"
"Yes","Yes","DSL","No","Yes","No","No","Yes","Yes","No","2"
"Yes","Yes","DSL","No","Yes","No","No","Yes","Yes","","2"
"Yes","Yes","DSL","No","Yes","No","No","Yes","","","4"
"Yes","Yes","DSL","No","Yes","No","No","","","","24"
"Yes","Yes","DSL","No","Yes","No","Yes","No","No","No","2"
"Yes","Yes","DSL","No","Yes","No","Yes","No","No","Yes","3"
"Yes","Yes","DSL","No","Yes","No","Yes","No","No","","5"
"Yes","Yes","DSL","No","Yes","No","Yes","No","Yes","No","6"
"Yes","Yes","DSL","No","Yes","No","Yes","No","Yes","","6"
"Yes","Yes","DSL","No","Yes","No","Yes","No","","","11"
"Yes","Yes","DSL","No","Yes","No","Yes","Yes","No","No","6"
"Yes","Yes","DSL","No","Yes","No","Yes","Yes","No","","6"
"Yes","Yes","DSL","No","Yes","No","Yes","Yes","Yes","No","8"
"Yes","Yes","DSL","No","Yes","No","Yes","Yes","Yes","Yes","1"
"Yes","Yes","DSL","No","Yes","No","Yes","Yes","Yes","","9"
"Yes","Yes","DSL","No","Yes","No","Yes","Yes","","","15"
"Yes","Yes","DSL","No","Yes","No","Yes","","","","26"
"Yes","Yes","DSL","No","Yes","No","","","","","50"
"Yes","Yes","DSL","No","Yes","Yes","No","No","No","No","3"
